cod_empresa,idcustomer,fecha,idarticle,unidades,ventas_(€),costamount,idpaymentmethod,documento,codcustomer,cliente,codvouchertype,tipoasiento,codproductline,macrofamilia,codproductfamily,familia,codproductsubfamily,subfamilia,year,month,month_name,presupuesto_mes,dif_ventas_presupuesto,ratio_ventas_presupuesto
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.0552025877816435,52.94479741221836,960.0999179539202
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.0154308845616106,52.98456911543839,3434.670241254667
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.05617211537665449,52.943827884623346,943.5286466357142
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.2113413356326838,52.78865866436732,250.77914758765053
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1477470182145329,52.85225298178547,358.72128345116573
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.08846187757307777,52.911538122426926,599.1281380639592
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.02514666482975383,52.974853335170245,2107.635360745325
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.001905859614955207,52.99809414038504,27808.97374817696
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.05302210344050208,52.946977896559495,999.583127807691
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.03014853259772809,52.96985146740227,1757.9628404200982
